FileName,Labels
clementi_opus36_4_2_format0.mid,opus36;format0;piano;4;2;clementi;test;classical
clementi_opus36_1_3.mid,opus36;3;piano;clementi;1;test;classical
clementi_opus36_3_2_format0.mid,opus36;3;format0;piano;2;clementi;test;classical
clementi_opus36_5_3_format0.mid,5;opus36;3;format0;piano;clementi;test;classical
clementi_opus36_1_1.mid,opus36;piano;clementi;1;test;classical
clementi_opus36_1_2_format0.mid,opus36;format0;piano;2;clementi;1;test;classical
clementi_opus36_2_2_format0.mid,opus36;format0;piano;2;clementi;test;classical
clementi_opus36_3_1.mid,opus36;3;piano;clementi;1;test;classical
clementi_opus36_4_2.mid,opus36;piano;4;2;clementi;test;classical
clementi_opus36_3_2.mid,opus36;3;piano;2;clementi;test;classical
clementi_opus36_2_1.mid,opus36;piano;2;clementi;1;test;classical
clementi_opus36_5_2_format0.mid,5;opus36;format0;piano;2;clementi;test;classical
clementi_opus36_2_2.mid,opus36;piano;2;clementi;test;classical
clementi_opus36_4_3.mid,opus36;3;4;piano;clementi;test;classical
clementi_opus36_5_1.mid,5;opus36;piano;clementi;1;test;classical
clementi_opus36_2_3_format0.mid,opus36;3;format0;piano;2;clementi;test;classical
clementi_opus36_2_1_format0.mid,opus36;format0;piano;2;clementi;1;test;classical
clementi_opus36_5_1_format0.mid,5;opus36;format0;piano;clementi;1;test;classical
clementi_opus36_3_3_format0.mid,opus36;3;format0;piano;clementi;test;classical
clementi_opus36_6_1.mid,opus36;piano;6;clementi;1;test;classical
fruehlingsrauschen.mid,sinding;piano;fruehlingsrauschen;test;classical
fruehlingsrauschen_format0.mid,format0;sinding;piano;fruehlingsrauschen;test;classical
haydn_8_4.mid,haydn;piano;4;8;test;classical
haydn_33_3_format0.mid,3;format0;haydn;piano;33;test;classical
haydn_35_3.mid,3;haydn;35;piano;test;classical
haydn_33_1.mid,haydn;piano;1;33;test;classical
haydn_9_2_format0.mid,format0;haydn;piano;2;9;test;classical
hay_40_2_format0.mid,hay;format0;haydn;piano;2;40;test;classical
haydn_43_3.mid,3;haydn;piano;43;test;classical
haydn_9_2.mid,haydn;piano;2;9;test;classical
hay_40_1_format0.mid,hay;format0;haydn;piano;40;1;test;classical
haydn_9_1_format0.mid,format0;haydn;piano;9;1;test;classical
haydn_8_1.mid,haydn;piano;8;1;test;classical
haydn_33_3.mid,3;haydn;piano;33;test;classical
hay_40_2.mid,hay;haydn;piano;2;40;test;classical
haydn_7_3_format0.mid,7;3;format0;haydn;piano;test;classical
haydn_8_4_format0.mid,format0;haydn;piano;4;8;test;classical
haydn_7_2_format0.mid,7;format0;haydn;piano;2;test;classical
haydn_7_3.mid,7;3;haydn;piano;test;classical
haydn_33_2.mid,haydn;piano;2;33;test;classical
haydn_8_2_format0.mid,format0;haydn;piano;2;8;test;classical
haydn_35_2.mid,haydn;35;piano;2;test;classical
haydn_9_3_format0.mid,3;format0;haydn;piano;9;test;classical
haydn_43_1_format0.mid,format0;haydn;piano;43;1;test;classical
haydn_8_1_format0.mid,format0;haydn;piano;8;1;test;classical
haydn_7_1_format0.mid,7;format0;haydn;piano;1;test;classical
haydn_35_3_format0.mid,3;format0;haydn;35;piano;test;classical
haydn_7_2.mid,7;haydn;piano;2;test;classical
haydn_35_2_format0.mid,format0;haydn;35;piano;2;test;classical
haydn_35_1_format0.mid,format0;haydn;35;piano;1;test;classical
haydn_43_2_format0.mid,format0;haydn;piano;43;2;test;classical
haydn_7_1.mid,7;haydn;piano;1;test;classical
haydn_9_3.mid,3;haydn;piano;9;test;classical
haydn_43_2.mid,haydn;piano;43;2;test;classical
haydn_8_3.mid,3;haydn;piano;8;test;classical
haydn_8_3_format0.mid,3;format0;haydn;piano;8;test;classical
haydn_35_1.mid,haydn;35;piano;1;test;classical
haydn_43_3_format0.mid,3;format0;haydn;piano;43;test;classical
haydn_33_1_format0.mid,format0;haydn;piano;1;33;test;classical
haydn_33_2_format0.mid,format0;haydn;piano;2;33;test;classical
haydn_8_2.mid,haydn;piano;2;8;test;classical
haydn_9_1.mid,haydn;piano;9;1;test;classical
bk_xmas4.mid,xmas4;piano;xmas;bk;test;classical
bk_xmas2.mid,xmas2;piano;xmas;bk;test;classical
bk_xmas1_format0.mid,format0;piano;xmas;xmas1;bk;test;classical
bk_xmas5.mid,xmas5;piano;xmas;bk;test;classical
bk_xmas2_format0.mid,format0;xmas2;piano;xmas;bk;test;classical
bk_xmas3.mid,piano;xmas;bk;test;classical;xmas3
bk_xmas5_format0.mid,format0;xmas5;piano;xmas;bk;test;classical
bk_xmas4_format0.mid,format0;xmas4;piano;xmas;bk;test;classical
bk_xmas1.mid,piano;xmas;xmas1;bk;test;classical
burg_sylphen_format0.mid,format0;burgmueller;burg;piano;sylphen;test;classical
burg_erwachen.mid,erwachen;burgmueller;burg;piano;test;classical
burg_quelle.mid,burgmueller;burg;piano;test;classical;quelle
burg_spinnerlied_format0.mid,format0;burgmueller;burg;piano;spinnerlied;test;classical
burg_perlen_format0.mid,format0;burgmueller;burg;piano;perlen;test;classical
burg_perlen.mid,burgmueller;burg;piano;perlen;test;classical
burg_geschwindigkeit.mid,burgmueller;geschwindigkeit;burg;piano;test;classical
burg_gewitter.mid,burgmueller;burg;piano;gewitter;test;classical
burg_agitato.mid,burgmueller;agitato;burg;piano;test;classical
burg_sylphen.mid,burgmueller;burg;piano;sylphen;test;classical
burg_erwachen_format0.mid,format0;erwachen;burgmueller;burg;piano;test;classical
burg_gewitter_format0.mid,format0;burgmueller;burg;piano;gewitter;test;classical
burg_geschwindigkeit_format0.mid,format0;burgmueller;geschwindigkeit;burg;piano;test;classical
burg_trennung_format0.mid,trennung;format0;burgmueller;burg;piano;test;classical
burg_trennung.mid,trennung;burgmueller;burg;piano;test;classical
burg_spinnerlied.mid,burgmueller;burg;piano;spinnerlied;test;classical
burg_quelle_format0.mid,format0;burgmueller;burg;piano;test;classical;quelle
mos_op36_6.mid,mos;moszkowski;piano;6;op36;test;classical
mos_op36_6_format0.mid,mos;format0;moszkowski;piano;6;op36;test;classical
mz_333_3.mid,3;333;mozart;piano;mz;test;classical
mz_330_3.mid,3;mozart;330;piano;mz;test;classical
mz_330_1_format0.mid,format0;mozart;330;piano;mz;1;test;classical
mz_570_1_format0.mid,570;mozart;format0;piano;mz;1;test;classical
mz_332_2.mid,332;mozart;piano;mz;2;test;classical
mz_330_3_format0.mid,3;format0;mozart;330;piano;mz;test;classical
mz_545_2_format0.mid,545;format0;mozart;piano;mz;2;test;classical
mz_545_1.mid,545;mozart;piano;mz;1;test;classical
mz_330_1.mid,mozart;330;piano;mz;1;test;classical
mz_333_2.mid,333;mozart;piano;mz;2;test;classical
mz_330_2.mid,mozart;330;piano;mz;2;test;classical
mz_332_3_format0.mid,332;3;mozart;format0;piano;mz;test;classical
mz_330_2_format0.mid,format0;mozart;330;piano;mz;2;test;classical
mz_331_3.mid,3;mozart;piano;mz;331;test;classical
mz_570_3_format0.mid,3;570;mozart;format0;piano;mz;test;classical
mz_545_1_format0.mid,545;format0;mozart;piano;mz;1;test;classical
mz_311_2.mid,mozart;piano;mz;2;311;test;classical
mz_311_2_format0.mid,format0;mozart;piano;mz;2;311;test;classical
mz_570_2.mid,570;mozart;piano;mz;2;test;classical
mz_333_1_format0.mid,333;mozart;format0;piano;mz;1;test;classical
mz_545_3.mid,545;3;mozart;piano;mz;test;classical
mz_333_2_format0.mid,333;mozart;format0;piano;mz;2;test;classical
mz_311_3_format0.mid,3;format0;mozart;piano;mz;311;test;classical
mz_333_3_format0.mid,3;333;mozart;format0;piano;mz;test;classical
mz_570_3.mid,3;570;mozart;piano;mz;test;classical
mz_332_1.mid,332;mozart;piano;mz;1;test;classical
mz_331_2.mid,mozart;piano;mz;331;2;test;classical
mz_332_1_format0.mid,332;format0;mozart;piano;mz;1;test;classical
mz_311_1.mid,mozart;piano;mz;1;311;test;classical
mz_331_1_format0.mid,format0;mozart;piano;mz;331;1;test;classical
mz_570_2_format0.mid,570;mozart;format0;piano;mz;2;test;classical
mz_545_3_format0.mid,545;3;format0;mozart;piano;mz;test;classical
mz_311_1_format0.mid,format0;mozart;piano;mz;1;311;test;classical
mz_331_2_format0.mid,format0;mozart;piano;mz;331;2;test;classical
mz_331_3_format0.mid,3;format0;mozart;piano;mz;331;test;classical
mz_332_2_format0.mid,332;format0;mozart;piano;mz;2;test;classical
mz_545_2.mid,545;mozart;piano;mz;2;test;classical
islamei.mid,balakirew;piano;classical;test;islamei
islamei_format0.mid,format0;balakirew;islamei;piano;test;classical
scn15_9_format0.mid,format0;schumann;piano;scn15;9;test;classical
scn16_4_format0.mid,format0;scn16;schumann;4;piano;test;classical
scn16_8_format0.mid,format0;scn16;schumann;piano;8;test;classical
scn15_10.mid,schumann;piano;scn15;10;test;classical
scn16_7_format0.mid,7;format0;scn16;schumann;piano;test;classical
scn15_12_format0.mid,format0;schumann;piano;scn15;12;test;classical
scn15_5.mid,5;schumann;piano;scn15;test;classical
scn15_7_format0.mid,7;format0;schumann;piano;scn15;test;classical
scn15_1_format0.mid,format0;schumann;piano;scn15;1;test;classical
scn16_4.mid,scn16;schumann;4;piano;test;classical
scn15_2.mid,schumann;piano;scn15;2;test;classical
scn15_2_format0.mid,format0;schumann;piano;scn15;2;test;classical
scn16_8.mid,scn16;schumann;piano;8;test;classical
scn68_12.mid,schumann;piano;scn68;12;test;classical
schum_abegg_format0.mid,schum;format0;schumann;piano;abegg;test;classical
scn15_13_format0.mid,format0;schumann;piano;scn15;13;test;classical
scn16_2_format0.mid,format0;scn16;schumann;piano;2;test;classical
scn16_5.mid,5;scn16;schumann;piano;test;classical
scn68_10_format0.mid,format0;schumann;piano;scn68;10;test;classical
scn68_10.mid,schumann;piano;scn68;10;test;classical
scn15_8.mid,schumann;piano;scn15;8;test;classical
scn15_13.mid,schumann;piano;scn15;13;test;classical
scn16_3_format0.mid,3;format0;scn16;schumann;piano;test;classical
scn16_7.mid,7;scn16;schumann;piano;test;classical
scn15_7.mid,7;schumann;piano;scn15;test;classical
scn16_1_format0.mid,format0;scn16;schumann;piano;1;test;classical
scn15_5_format0.mid,5;format0;schumann;piano;scn15;test;classical
scn15_4.mid,schumann;4;piano;scn15;test;classical
scn15_6.mid,schumann;piano;scn15;6;test;classical
scn15_11.mid,schumann;piano;scn15;11;test;classical
scn15_6_format0.mid,format0;schumann;piano;scn15;6;test;classical
scn16_6.mid,scn16;schumann;piano;6;test;classical
scn68_12_format0.mid,format0;schumann;piano;scn68;12;test;classical
scn15_9.mid,schumann;piano;scn15;9;test;classical
scn15_11_format0.mid,format0;schumann;piano;scn15;11;test;classical
scn16_5_format0.mid,5;format0;scn16;schumann;piano;test;classical
scn16_3.mid,3;scn16;schumann;piano;test;classical
scn16_1.mid,scn16;schumann;piano;1;test;classical
scn15_4_format0.mid,format0;schumann;piano;4;scn15;test;classical
scn15_3.mid,3;schumann;piano;scn15;test;classical
scn15_10_format0.mid,format0;schumann;piano;scn15;10;test;classical
scn16_6_format0.mid,format0;scn16;schumann;piano;6;test;classical
scn15_3_format0.mid,3;format0;schumann;piano;scn15;test;classical
scn15_8_format0.mid,format0;schumann;piano;scn15;8;test;classical
scn15_12.mid,schumann;piano;scn15;12;test;classical
scn15_1.mid,schumann;piano;scn15;1;test;classical
appass_2.mid,beethoven;piano;2;appass;test;classical
beethoven_opus22_3.mid,3;beethoven;opus22;piano;test;classical
pathetique_3.mid,pathetique;3;beethoven;piano;test;classical
elise.mid,beethoven;elise;piano;test;classical
appass_3.mid,3;beethoven;piano;appass;test;classical
waldstein_1_format0.mid,format0;beethoven;waldstein;piano;1;test;classical
beethoven_opus10_2.mid,beethoven;piano;2;test;classical;opus10
beethoven_opus10_3_format0.mid,3;format0;beethoven;piano;test;classical;opus10
waldstein_3_format0.mid,3;format0;beethoven;waldstein;piano;test;classical
mond_1_format0.mid,format0;beethoven;piano;mond;1;test;classical
appass_2_format0.mid,format0;beethoven;piano;2;appass;test;classical
beethoven_opus22_4_format0.mid,format0;beethoven;opus22;piano;4;test;classical
mond_2.mid,beethoven;piano;2;mond;test;classical
mond_1.mid,beethoven;piano;mond;1;test;classical
appass_3_format0.mid,3;format0;beethoven;piano;appass;test;classical
beethoven_hammerklavier_4_format0.mid,format0;beethoven;4;piano;test;classical;hammerklavier
pathetique_1_format0.mid,pathetique;format0;beethoven;piano;1;test;classical
waldstein_2.mid,beethoven;waldstein;piano;2;test;classical
beethoven_hammerklavier_2_format0.mid,format0;beethoven;piano;2;test;classical;hammerklavier
beethoven_opus22_4.mid,beethoven;opus22;piano;4;test;classical
mond_3.mid,3;beethoven;piano;mond;test;classical
beethoven_opus10_2_format0.mid,format0;beethoven;piano;2;test;classical;opus10
beethoven_opus10_3.mid,3;beethoven;piano;test;classical;opus10
beethoven_opus22_2_format0.mid,format0;beethoven;opus22;piano;2;test;classical
appass_1_format0.mid,format0;beethoven;test;piano;1;appass;classical
waldstein_1.mid,beethoven;waldstein;piano;1;test;classical
beethoven_opus10_1.mid,beethoven;piano;1;test;classical;opus10
beethoven_hammerklavier_2.mid,beethoven;piano;2;test;classical;hammerklavier
mond_3_format0.mid,3;format0;beethoven;piano;mond;test;classical
beethoven_hammerklavier_4.mid,beethoven;4;piano;test;classical;hammerklavier
beethoven_les_adieux_2.mid,beethoven;piano;adieux;2;les;test;classical
beethoven_hammerklavier_3_format0.mid,3;format0;beethoven;piano;test;classical;hammerklavier
beethoven_opus22_1.mid,beethoven;opus22;piano;1;test;classical
beethoven_les_adieux_1_format0.mid,format0;beethoven;piano;adieux;les;1;test;classical
beethoven_opus22_3_format0.mid,3;format0;beethoven;opus22;piano;test;classical
elise_format0.mid,format0;beethoven;elise;piano;test;classical
beethoven_opus22_1_format0.mid,format0;beethoven;opus22;piano;1;test;classical
beethoven_opus22_2.mid,beethoven;opus22;piano;2;test;classical
waldstein_2_format0.mid,format0;beethoven;waldstein;piano;2;test;classical
pathetique_2_format0.mid,pathetique;format0;beethoven;piano;2;test;classical
beethoven_hammerklavier_1_format0.mid,format0;beethoven;piano;1;test;classical;hammerklavier
appass_1.mid,beethoven;test;piano;1;appass;classical
pathetique_3_format0.mid,pathetique;3;format0;beethoven;piano;test;classical
beethoven_les_adieux_2_format0.mid,format0;beethoven;piano;adieux;2;les;test;classical
pathetique_2.mid,pathetique;beethoven;piano;2;test;classical
mond_2_format0.mid,format0;beethoven;piano;2;mond;test;classical
beethoven_opus10_1_format0.mid,format0;beethoven;piano;1;test;classical;opus10
beethoven_les_adieux_3_format0.mid,3;format0;beethoven;piano;adieux;les;test;classical
ty_maerz_format0.mid,format0;maerz;ty;piano;tchaikovsky;test;classical
ty_september.mid,september;ty;piano;tchaikovsky;test;classical
ty_dezember_format0.mid,format0;ty;piano;dezember;tchaikovsky;test;classical
ty_november.mid,ty;piano;tchaikovsky;november;test;classical
ty_maerz.mid,maerz;ty;piano;tchaikovsky;test;classical
ty_mai_format0.mid,format0;ty;piano;tchaikovsky;mai;test;classical
ty_oktober_format0.mid,format0;ty;piano;oktober;tchaikovsky;test;classical
ty_juni_format0.mid,format0;juni;ty;piano;tchaikovsky;test;classical
ty_september_format0.mid,format0;september;ty;piano;tchaikovsky;test;classical
ty_november_format0.mid,format0;ty;piano;tchaikovsky;november;test;classical
ty_januar.mid,ty;piano;tchaikovsky;test;classical;januar
ty_februar.mid,februar;ty;piano;tchaikovsky;test;classical
ty_april_format0.mid,format0;ty;piano;april;tchaikovsky;test;classical
ty_juni.mid,juni;ty;piano;tchaikovsky;test;classical
ty_april.mid,ty;piano;april;tchaikovsky;test;classical
ty_dezember.mid,ty;piano;dezember;tchaikovsky;test;classical
ty_mai.mid,ty;piano;tchaikovsky;mai;test;classical
ty_august_format0.mid,format0;ty;piano;tchaikovsky;august;test;classical
ty_februar_format0.mid,format0;februar;ty;piano;tchaikovsky;test;classical
ty_oktober.mid,ty;piano;oktober;tchaikovsky;test;classical
ty_juli_format0.mid,format0;juli;ty;piano;tchaikovsky;test;classical
ty_januar_format0.mid,format0;ty;piano;tchaikovsky;test;classical;januar
ty_juli.mid,juli;ty;piano;tchaikovsky;test;classical
ty_august.mid,ty;piano;tchaikovsky;august;test;classical
rav_scarbo.mid,rav;scarbo;piano;ravel;test;classical
rav_ondi.mid,rav;ondi;piano;ravel;test;classical
ravel_miroirs_1_format0.mid,format0;piano;miroirs;ravel;1;test;classical
ravel_miroirs_1.mid,piano;miroirs;ravel;1;test;classical
rav_gib.mid,rav;gib;piano;ravel;test;classical
rav_eau.mid,rav;piano;ravel;test;classical;eau
brahms_opus117_2.mid,piano;opus117;2;brahms;test;classical
br_rhap_format0.mid,format0;br;rhap;piano;brahms;test;classical
br_im2.mid,br;piano;brahms;test;classical;im2
brahms_opus1_1_format0.mid,format0;piano;brahms;1;opus1;test;classical
brahms_opus1_4.mid,piano;4;brahms;opus1;test;classical
brahms_opus1_2_format0.mid,format0;piano;2;brahms;opus1;test;classical
br_rhap.mid,br;rhap;piano;brahms;test;classical
brahms_opus117_1.mid,piano;opus117;brahms;1;test;classical
br_im2_format0.mid,format0;br;piano;brahms;test;classical;im2
br_im5.mid,im5;br;piano;brahms;test;classical
brahms_opus1_3_format0.mid,3;format0;piano;brahms;opus1;test;classical
brahms_opus1_2.mid,piano;2;brahms;opus1;test;classical
brahms_opus117_2_format0.mid,format0;piano;opus117;2;brahms;test;classical
br_im5_format0.mid,im5;format0;br;piano;brahms;test;classical
brahms_opus117_1_format0.mid,format0;piano;opus117;brahms;1;test;classical
br_im6.mid,br;im6;piano;brahms;test;classical
br_im6_format0.mid,format0;br;im6;piano;brahms;test;classical
bach_847.mid,bach;847;piano;test;classical
bach_846_format0.mid,format0;bach;846;piano;test;classical
bach_846.mid,bach;846;piano;test;classical
bach_847_format0.mid,format0;bach;847;piano;test;classical
bach_850_format0.mid,format0;bach;piano;test;classical;850
bach_850.mid,bach;piano;classical;test;850
deb_pass_format0.mid,format0;deb;piano;pass;debussy;test;classical
debussy_cc_5.mid,5;cc;piano;debussy;test;classical
debussy_cc_5_format0.mid,5;format0;cc;piano;debussy;test;classical
deb_pass.mid,deb;piano;pass;debussy;test;classical
deb_menu_format0.mid,format0;deb;piano;menu;debussy;test;classical
deb_prel_format0.mid,prel;format0;deb;piano;debussy;test;classical
deb_prel.mid,prel;deb;piano;debussy;test;classical
debussy_cc_4.mid,cc;piano;4;debussy;test;classical
debussy_cc_1_format0.mid,format0;cc;piano;1;debussy;test;classical
debussy_cc_6.mid,cc;piano;6;debussy;test;classical
debussy_cc_3.mid,3;cc;piano;debussy;test;classical
deb_clai_format0.mid,format0;deb;piano;clai;debussy;test;classical
debussy_cc_1.mid,cc;piano;1;debussy;test;classical
deb_menu.mid,deb;piano;menu;debussy;test;classical
debussy_cc_4_format0.mid,format0;cc;piano;4;debussy;test;classical
deb_clai.mid,deb;piano;clai;debussy;test;classical
debussy_cc_2_format0.mid,format0;cc;piano;2;debussy;test;classical
debussy_cc_3_format0.mid,3;format0;cc;piano;debussy;test;classical
debussy_cc_2.mid,cc;piano;2;debussy;test;classical
debussy_cc_6_format0.mid,format0;cc;piano;6;debussy;test;classical
gra_esp_3.mid,3;gra;piano;granados;esp;test;classical
gra_esp_2_format0.mid,format0;gra;piano;2;granados;esp;test;classical
gra_esp_4.mid,gra;piano;4;granados;esp;test;classical
gra_esp_4_format0.mid,format0;gra;piano;4;granados;esp;test;classical
gra_esp_2.mid,gra;piano;2;granados;esp;test;classical
gra_esp_3_format0.mid,3;format0;gra;piano;granados;esp;test;classical
grieg_halling_format0.mid,format0;grieg;piano;halling;test;classical
schumm-3_format0.mid,3;format0;schumm;piano;test;classical
muss_6_format0.mid,format0;muss;piano;6;test;classical
bk_xmas3_format0.mid,format0;piano;bk;test;classical;xmas3
muss_4_format0.mid,format0;muss;piano;4;test;classical
chpn-p12_format0.mid,p12;format0;chpn;piano;test;classical
scn15_9_format0.mid,format0;piano;scn15;9;test;classical
scn16_4_format0.mid,format0;scn16;4;piano;test;classical
chpn_op25_e4_format0.mid,format0;chpn;op25;piano;e4;test;classical
scn16_8_format0.mid,format0;scn16;piano;8;test;classical
alb_se7_format0.mid,format0;alb;piano;se7;test;classical
bk_xmas1_format0.mid,format0;piano;xmas1;bk;test;classical
ty_maerz_format0.mid,format0;maerz;ty;piano;test;classical
chpn-p24_format0.mid,format0;chpn;piano;p24;test;classical
alb_esp3_format0.mid,format0;alb;esp3;piano;test;classical
ty_dezember_format0.mid,format0;ty;piano;dezember;test;classical
liz_et6_format0.mid,format0;et6;piano;liz;test;classical
chpn_op25_e3_format0.mid,e3;format0;chpn;op25;piano;test;classical
grieg_wedding_format0.mid,format0;grieg;piano;wedding;test;classical
chpn-e11_format0.mid,format0;chpn;piano;e11;test;classical
